"jujutsu kaisen",2000,active,"jjk,jujutsu kaisen,gojo,akutami gege,магическая битва,жжк,конец жжк"
"магическая битва конец",2000,active,"жжк,магическая битва конец,271 глава жжк,конец жжк,конец магической битвы"
"россия 1",500,inactive,"россия 1"
"silent hill 2",3300,inactive,"silent hill 2,silent hill 2 remake"
"больница 20 спб",2000,inactive,"больница 20 спб,20 больница спб,городская больница 20"
"марбургская лихорадка",2000,inactive,"марбургская лихорадка"
"сирена 2 октября",10000,inactive,"сирена 2 октября,проверка системы оповещения спб,сирена спб,тревога 2 октября,проверка систем оповещения,воздушная тревога 2 октября,новости спб,сирены 2 октября,учебная тревога 2 октября,проверка сирены 2 октября,сирена 2 октября во сколько,проверка оповещения 2 октября,сирена,спб сирена,спб проверка системы оповещения"
"северсталь – ска",500,inactive,"северсталь – ска"
"лига чемпионов",4000,inactive,"лига чемпионов,лч,шахтёр донецк – аталанта,жирона – фейеноорд"
"телеграм не работает",2000,inactive,"телеграм не работает,сбой телеграм,телеграм сбой,не работает телеграм,downdetector,сбои телеграм,телеграмм"
"кирилл нагиев",500,inactive,"кирилл нагиев,кирилл дыцевич"
"сумерки",1000,inactive,"сумерки"
"производственный календарь 2025",500,inactive,"производственный календарь 2025,производственный календарь 2024,праздничные дни 2024"
"александр михайлов",200,inactive,"александр михайлов"
"динамо мн – ска",500,inactive,"динамо мн – ска"
"ufc",100,inactive,"ufc"
"звезды в джунглях",100,inactive,"звезды в джунглях"
"4 октября праздник",700,inactive,"4 октября праздник,какой сегодня праздник"
"когда включат отопление спб 2024",500,inactive,"когда включат отопление спб 2024,отопление спб 2024,отопление спб"
"венсан кассель",500,inactive,"венсан кассель,с днем рождения,моника беллуччи"
"фонтанка",500,inactive,"фонтанка,фонтанка ру"
"воздушная тревога",200,inactive,"воздушная тревога"
"санкт петербург",200,inactive,"санкт петербург"
"с днем рождения",100,inactive,"с днем рождения"
"жирона – фейеноорд",200,inactive,"жирона – фейеноорд"
"яндекс музыка",100,inactive,"яндекс музыка"
"лига чемпионов турнирная таблица",100,inactive,"лига чемпионов турнирная таблица"
"спб погода",1000,inactive,"спб погода"
"день рождения путина",34000,active,"день рождения путина,путин,путин день рождения,др путина,владимир путин"
"депутат наливкин андрей неретин",10000,active,"депутат наливкин андрей неретин,виталий наливкин,андрей неретин,наливкин"
"сэмми бассо",5000,active,"сэмми бассо"
"антон батырев",2000,active,"антон батырев"
"райан рейнольдс и блейк лайвли",2000,active,"райан рейнольдс и блейк лайвли,блейк лайвли,райан рейнольдс"
"вирус марбургской лихорадки манго",10000,active,"вирус марбургской лихорадки манго,вируса марбурга,вирус марбургской лихорадки,марбургская лихорадка,вирус марбург,марбургская лихорадка воз,эпидемия,лихорадка марбург,руанда,марбург,марбург вирус"
"энн хэтэуэй дневники принцессы 3",1000,active,"энн хэтэуэй дневники принцессы 3,энн хэтэуэй дневники принцессы,энн хэтэуэй"
"збруев",10000,active,"збруев,актёр александр збруев,александр збруев"
"постучись в мою дверь в москве",10000,active,"постучись в мою дверь в москве,кирилл дыцевич,кирилл нагиев,никита волков,лиана гриба"
"меган маркл",1000,inactive,"меган маркл"
"день учителя 2024",50000,inactive,"день учителя 2024,с днем учителя,поздравление с днем учителя,с днем учителя картинки,когда день учителя,открытка с днем учителя,с днем учителя открытки,с днём учителя,5 октября праздник,поздравление с днем учителя в прозе,когда день учителя в 2024 году,картинка с днем учителя,поздравления с днем учителя своими словами,поздравления с днём учителя,с днём учителя открытки,с днем учителя своими словами,открытки с днём учителя,день учителя поздравления,день учителя когда,поздравления с днем учителя,день учителя 2024 когда,открытки с днем учителя"
"роман бурцев двойник ди каприо",5000,inactive,"роман бурцев двойник ди каприо,роман бурцев"
"когда в москве включат отопление",10000,inactive,"когда в москве включат отопление,когда включат отопление в москве,отопление в москве 2024,когда включат отопление,когда дадут отопление в москве,отопление в москве,включат отопление,mos ru,когда включат отопление в москве 2024"
"день учителя",30000,inactive,"день учителя"
"вгтрк",2000,inactive,"вгтрк,россия 1,радио"
"тинькофф банк",500,inactive,"тинькофф банк"
"реал мадрид – вильярреал",30000,inactive,"реал мадрид – вильярреал,реал мадрид – вильярреал составы,реал вильярреал"
"валентина титова",2000,inactive,"валентина титова,басов,титова"
"джокер 2",2000,inactive,"джокер 2"
"антарктида",1000,inactive,"антарктида,антарктида зеленеет"
"реал сосьедад – атлетико мадрид",2000,inactive,"реал сосьедад – атлетико мадрид"
"ильдар дадин",2000,inactive,"ильдар дадин"
"эминем",5000,inactive,"эминем"
"радиационный туман",1000,inactive,"радиационный туман"
"платформа 2",2000,inactive,"платформа 2"
"самая высокая девочка россии",2000,inactive,"самая высокая девочка россии"
"василий ливанов",5000,inactive,"василий ливанов,василия ливанова,василий ливанов новости"
"динамо цска",5000,inactive,"динамо цска,цска динамо,рпл,цска,премьер-лига,динамо москва – цска,динамо москва"
"фиорентина – милан",1000,inactive,"фиорентина – милан"
"евгений сидихин",5000,inactive,"евгений сидихин,сидихин"
"джон эймос",5000,inactive,"джон эймос"
"международный день врача",1000,inactive,"международный день врача,день врача,день врача 2024"
"7 октября праздник",500,inactive,"7 октября праздник"
"краснодар – химки",2000,inactive,"краснодар – химки,краснодар химки"
"юлия пересильд",5000,inactive,"юлия пересильд,анна пересильд"
"дзюба",2000,inactive,"дзюба,акрон – пари нн"
"ренат акчурин",1000,inactive,"ренат акчурин,акчурин ренат сулейманович,акчурин"
"запрет курения после 2009",2000,inactive,"запрет курения после 2009,запрет курения"
"торонто – интер майами",1000,inactive,"торонто – интер майами"
"астон вилла – манчестер юнайтед",1000,inactive,"астон вилла – манчестер юнайтед"
"иран",17000,active,"иран,иран израиль ракеты,иран израиль,иран ядерное оружие,ракеты ирана,ксир,нетаньяху,цахал,биньямин нетаньяху,железный купол,баллистическая ракета,армия израиля,ксир,тель авив"
"губерниев",200,inactive,"губерниев"
"айнтрахт франкфурт – бавария",1000,inactive,"айнтрахт франкфурт – бавария"
"михайлов александр",2000,inactive,"михайлов александр,александр михайлов,михайлов"
"зенит – оренбург",8000,inactive,"зенит – оренбург,зенит оренбург"
"мисс россия 2024",1000,inactive,"мисс россия 2024,валентина алексеева,валентина алексеева мисс россия"
"abbyy",6000,inactive,"abbyy,давид ян"
"полеты над ираном",2000,inactive,"полеты над ираном"
"ювентус – кальяри",1000,inactive,"ювентус – кальяри"
"порту – манчестер юнайтед",3400,inactive,"порту – манчестер юнайтед"
"челси – форест",1000,inactive,"челси – форест,челси"
"ренн – монако",1000,inactive,"ренн – монако"
"юлия вавилова",500,inactive,"юлия вавилова"
"звезды в джунглях 3 выпуск",1000,inactive,"звезды в джунглях 3 выпуск,алана мамаева"
"артем дзюба",2000,inactive,"артем дзюба,жена дзюбы,дзюба жена"
"королева елизавета",2000,inactive,"королева елизавета"
"интер – торино",1000,inactive,"интер – торино"
"манчестер сити – фулхэм",3000,inactive,"манчестер сити – фулхэм,манчестер сити"
"налог на бездетность",1000,inactive,"налог на бездетность,ргсу,ввести налог на бездетность"
"daily star британка",2000,inactive,"daily star британка"
"детская водка польша",1000,inactive,"детская водка польша"
"лерчек",2000,inactive,"лерчек,чекалины,лерчек новости"
"жирона – атлетик",500,inactive,"жирона – атлетик"
"погода завтра",20000,active,"погода завтра"
"брайтон – тоттенхэм",670,inactive,"брайтон – тоттенхэм"
"спартак ростов",1000,inactive,"спартак ростов,спартак"
"турин",500,inactive,"турин,с днем рождения"
"пранкер вован",2000,inactive,"пранкер вован"
"кристал пэлас – ливерпуль",2000,inactive,"кристал пэлас – ливерпуль"
"тим бертон моника беллуччи",5000,inactive,"тим бертон моника беллуччи,венсан кассель,моника беллуччи"
"ким чен ын",1000,inactive,"ким чен ын"
"любовь толкалина",2000,inactive,"любовь толкалина"
"монца – рома",500,inactive,"монца – рома"
"арсенал – саутгемптон",1000,inactive,"арсенал – саутгемптон,арсенал"
"евгений цыганов",2000,inactive,"евгений цыганов"
"ударный беспилотник охотник",1000,inactive,"ударный беспилотник охотник,бпла охотник,с 70 охотник"
"челси – гент",2555,inactive,"челси – гент,лига конференций"
"аль пачино",200,inactive,"аль пачино"
"мария луговая",200,inactive,"мария луговая"
"роберт фицо",100,inactive,"роберт фицо,премьер"
"юлия ауг",1000,inactive,"юлия ауг"
"виктор логинов сво",2000,inactive,"виктор логинов сво,виктор логинов"
"пожилой возраст",2000,inactive,"пожилой возраст"
"израиль новости",2000,inactive,"израиль новости,бейрут,тель авив,хашем сафи ад дин,новости израиль"
"ufc 307",1000,inactive,"ufc 307,юфс,ufc,алекс перейра,юфс 307,халил раунтри"
"бенфика – атлетико мадрид",2000,inactive,"бенфика – атлетико мадрид,бенфика атлетико мадрид прогноз"
"сара джессика паркер",500,inactive,"сара джессика паркер,джессика паркер"
"ахмат – краснодар",3000,inactive,"ахмат – краснодар"
"анастасия цветаева",1000,inactive,"анастасия цветаева"
"валерия запашная",500,inactive,"валерия запашная"
"одаб 9000",2000,inactive,"одаб 9000,волчанск,вакуумная бомба,одаб-9000"
"сбой телеграм",10000,inactive,"сбой телеграм,телеграм не работает,телеграм сбой,downdetector,не работает телеграм,телеграмм,сбои телеграм,сбой телеграм сегодня,сбой в телеграм,downdetector telegram,telegram downdetector,телеграм упал,телеграм сбои"
"лига европы",1000,inactive,"лига европы"
"астон вилла – бавария",2750,inactive,"астон вилла – бавария,бавария,астон вилла"
"7 октября",200,inactive,"7 октября"
"натан",200,inactive,"натан"
"феодосия",200,inactive,"феодосия"
"павел дуров болгар",2000,inactive,"павел дуров болгар,павла дурова,ирина болгар дуров"
"махмуд ахмадинежад агент моссада",2000,inactive,"махмуд ахмадинежад агент моссада,ахмадинежад агент моссада"
"эмма стоун",200,inactive,"эмма стоун"
"курс доллара",1500,inactive,"курс доллара"
"кейт миддлтон",1000,inactive,"кейт миддлтон"
"большой театр",1000,inactive,"большой театр"
"ливерпуль – болонья",1000,inactive,"ливерпуль – болонья,ливерпуль"
"слован – манчестер сити",2000,inactive,"слован – манчестер сити"
"путин подписал указ",4000,inactive,"путин подписал указ,путин подписал указ об осеннем призыве"
"ирина славина",1000,inactive,"ирина славина"
"аталанта – дженоа",500,inactive,"аталанта – дженоа"
"динамо загреб – монако",1000,inactive,"динамо загреб – монако"
"спартак – металлург мг",1000,inactive,"спартак – металлург мг"
"день уголовного розыска",500,inactive,"день уголовного розыска"
"наполи – комо",1000,inactive,"наполи – комо"
"мемориал дениса тена",500,inactive,"мемориал дениса тена"
"рб лейпциг – ювентус",1020,inactive,"рб лейпциг – ювентус,ювентус"
"сергей жуков",1500,inactive,"сергей жуков"
"аль-ахли джидда – аль-хиляль",500,inactive,"аль-ахли джидда – аль-хиляль"
"селидово",500,inactive,"селидово,селидово новости"
"байер – милан",900,inactive,"байер – милан,байер милан,байер милан прогноз"
"коламбус крю – интер майами",1000,inactive,"коламбус крю – интер майами,интер майами"
"байер – хольштайн",500,inactive,"байер – хольштайн"
"ференцварош – тоттенхэм",1000,inactive,"ференцварош – тоттенхэм"
"павла дурова",1000,inactive,"павла дурова"
"реал мадрид",2500,inactive,"реал мадрид,лилль реал мадрид,лига чемпионов игры,реал"
"флоренс пью",200,inactive,"флоренс пью"
"алена косторная",200,inactive,"алена косторная"
"боруссия – селтик",1200,inactive,"боруссия – селтик,боруссия"
"cryptex",1000,inactive,"cryptex,uaps"
"затмение 2 октября 2024",1000,inactive,"затмение 2 октября 2024,солнечное затмение 2 октября 2024,солнечное затмение"
"кашпировский",200,inactive,"кашпировский"
"военкор евгений поддубный",500,inactive,"военкор евгений поддубный"
"шахтёр донецк – аталанта",1000,inactive,"шахтёр донецк – аталанта,лига чемпионов игры"
"аль-хиляль – аль-шорта",500,inactive,"аль-хиляль – аль-шорта"
"иран землетрясение",100,inactive,"иран землетрясение"
"трансильванская порода кошек",1000,inactive,"трансильванская порода кошек,новая порода кошек в румынии"
"субстанция фильм",500,inactive,"субстанция фильм"
"эспаньол – мальорка",200,inactive,"эспаньол – мальорка"
"интер – црвена звезда",500,inactive,"интер – црвена звезда"
"том круз",1000,inactive,"том круз"
"бишкек",200,inactive,"бишкек"
"лч",2000,inactive,"лч,лига чемпионов турнирная таблица,реал мадрид,лига чемпионов игры"
"михаэль шумахер",500,inactive,"михаэль шумахер"
"бундеслига",200,inactive,"бундеслига"
"реал сосьедад – андерлехт",500,inactive,"реал сосьедад – андерлехт"
"безруков",200,inactive,"безруков"
"владимир путин подписал закон",500,inactive,"владимир путин подписал закон,путин подписал"
"депутат верховной рады дунда",100,inactive,"депутат верховной рады дунда"
"вест хэм юнайтед – ипсвич таун",200,inactive,"вест хэм юнайтед – ипсвич таун"
"унион – боруссия",200,inactive,"унион – боруссия"
"прогноз погоды",100,inactive,"прогноз погоды"
"дэдпул и росомаха",200,inactive,"дэдпул и росомаха"
"леганес – валенсия",200,inactive,"леганес – валенсия"
"спартак – барыс",500,inactive,"спартак – барыс"
"пьянич",200,inactive,"пьянич"
"зоя бербер",200,inactive,"зоя бербер"
"дани карвахаль",100,inactive,"дани карвахаль,карвахаль"
"okko",2000,inactive,"okko"
"эльфсборг – рома",200,inactive,"эльфсборг – рома"
"рамзан кадыров",100,inactive,"рамзан кадыров"
"манчестер юнайтед",500,inactive,"манчестер юнайтед,мю"
"квадроберы",500,inactive,"квадроберы,новости россии"
"новости",1000,inactive,"новости"
"руднево",500,inactive,"руднево"
"отопление",100,inactive,"отопление"
"цска – металлург мг",1500,inactive,"цска – металлург мг,цска металлург"
"джимми картер",200,inactive,"джимми картер"
"адам кадыров",200,inactive,"адам кадыров"
"алексей огурцов",500,inactive,"алексей огурцов"
"натали портман",500,inactive,"натали портман"
"список запрещенных артистов",500,inactive,"список запрещенных артистов,список запрещенных артистов в россии 2024"
"окко",2000,inactive,"окко"
"хетафе – осасуна",100,inactive,"хетафе – осасуна"
"даниил медведев",1000,inactive,"даниил медведев,карлос алькарас"
"люся чеботина",100,inactive,"люся чеботина"
"карта мира",500,inactive,"карта мира"
"брентфорд – вулверхэмптон",500,inactive,"брентфорд – вулверхэмптон,штутгарт – спарта прага"
"youtube",1000,inactive,"youtube,замедление ютуб,ютуб"
"туктамышева",100,inactive,"туктамышева"
"weather",1000,inactive,"weather"
"ювентус",100,inactive,"ювентус"
"отар кушанашвили после операции",200,inactive,"отар кушанашвили после операции"
"хвалдимир",200,inactive,"хвалдимир"
"магнитные бури",5000,active,"магнитные бури,магнитная буря сегодня,магнитная буря на что влияет"
"рпл таблица",100,inactive,"рпл таблица"
"брикс",100,inactive,"брикс"
"аятолла хаменеи",200,inactive,"аятолла хаменеи"
"когда включат отопление в москве 2024",500,inactive,"когда включат отопление в москве 2024,когда в москве включат отопление,отопление в москве 2024,отопление в москве"
"мизулина",300,inactive,"мизулина,екатерина мизулина,медуза"
"ле",200,inactive,"ле"
"пелевин",200,inactive,"пелевин,пелевин круть"
"3 октября праздник",200,inactive,"3 октября праздник"
"инна выходцева",200,inactive,"инна выходцева"
"рфш – галатасарай",200,inactive,"рфш – галатасарай"
"чбд",200,inactive,"чбд,чбд рузиль минекаев"
"skull and bones",200,inactive,"skull and bones"
"угледар",1500,inactive,"угледар,угледара"
"ньюкасл юнайтед – уимблдон",200,inactive,"ньюкасл юнайтед – уимблдон"
"яндекс погода",1000,inactive,"яндекс погода"
"утильсбор",200,inactive,"утильсбор"
"финский залив",200,inactive,"финский залив"
"эвертон – ньюкасл юнайтед",100,inactive,"эвертон – ньюкасл юнайтед"
"квадробер",4200,inactive,"квадробер"
"ростелеком",200,inactive,"ростелеком"
"марина восканьянц",100,inactive,"марина восканьянц"
"арина глазунова погибла",200,inactive,"арина глазунова погибла"
"олаф шольц",200,inactive,"олаф шольц"
"майк помпео",100,inactive,"майк помпео"
"любовь успенская",200,inactive,"любовь успенская,татьяна плаксина"
"рабочий календарь 2024",200,inactive,"рабочий календарь 2024"
"телепрограмма",100,inactive,"телепрограмма"
"курс доллара к рублю",100,inactive,"курс доллара к рублю"
"ближний восток",200,inactive,"ближний восток"
"первый канал",300,inactive,"первый канал"
"производственный календарь",200,inactive,"производственный календарь"
"гарри герцог сассекский",100,inactive,"гарри герцог сассекский"
"2 октября праздник",100,inactive,"2 октября праздник"
"cnn",100,inactive,"cnn"
"еврейский новый год",100,inactive,"еврейский новый год"
"невзоров",100,inactive,"невзоров"
"войцех щенсный",100,inactive,"войцех щенсный"
"какой сегодня праздник",300,inactive,"какой сегодня праздник,праздники сегодня"
"1 октября",100,inactive,"1 октября"
"татьяна васильева",100,inactive,"татьяна васильева"
"марк рютте",100,inactive,"марк рютте"
"спартак-москва",100,inactive,"спартак-москва"
"метро",200,inactive,"метро"
"бейрут",100,inactive,"бейрут"
"faceit",100,inactive,"faceit"
"real madrid",100,inactive,"real madrid"
"жириновский",100,inactive,"жириновский"
"марин ле пен",100,inactive,"марин ле пен"
"манчестер сити",100,inactive,"манчестер сити"
"тинькофф",1600,inactive,"тинькофф"
"цска – трактор",1000,inactive,"цска – трактор,трактор"
"динамо москва – трактор",1000,inactive,"динамо москва – трактор"
"спартак – трактор",1500,inactive,"спартак – трактор,кхл,трактор"
"день пожилого человека",500,inactive,"день пожилого человека,день пожилых людей 2024,1 октября праздник"
"матч тв",800,inactive,"матч тв"
"натали",200,inactive,"натали"
"аль-наср – аль-оруба",3200,inactive,"аль-наср – аль-оруба"
"погода магнитогорск",200,inactive,"погода магнитогорск,погода в магнитогорске"
"кхл",1000,inactive,"кхл"
"кхл таблица",100,inactive,"кхл таблица"
"1 октября праздник",200,inactive,"1 октября праздник,день пожилого человека 2024"
"металлург",100,inactive,"металлург"
"производственный календарь 2024",3700,inactive,"производственный календарь 2024"
"кошка",1000,inactive,"кошка,породы кошек,русская голубая кошка,сиамская кошка"
"атака титанов",600,inactive,"атака титанов,леви,эрен йегер,микаса"
"эрен и микаса",490,inactive,"атака титанов,эрен и микаса,микаса,эрен"
